"TableName","SeriesCode","LineNumber","LineDescription","TimePeriod","METRIC_NAME","CL_UNIT","UNIT_MULT","DataValue","NoteRef"
"T10106","A191RX","1","Gross domestic product",2004,"Chained Dollars","Level","6",14406382,"T10106"
"T10106","A191RX","1","Gross domestic product",2005,"Chained Dollars","Level","6",14912509,"T10106"
"T10106","A191RX","1","Gross domestic product",2006,"Chained Dollars","Level","6",15338257,"T10106"
"T10106","A191RX","1","Gross domestic product",2007,"Chained Dollars","Level","6",15626029,"T10106"
"T10106","A191RX","1","Gross domestic product",2008,"Chained Dollars","Level","6",15604687,"T10106"
"T10106","A191RX","1","Gross domestic product",2009,"Chained Dollars","Level","6",15208834,"T10106"
"T10106","A191RX","1","Gross domestic product",2010,"Chained Dollars","Level","6",15598753,"T10106"
"T10106","A191RX","1","Gross domestic product",2011,"Chained Dollars","Level","6",15840664,"T10106"
"T10106","A191RX","1","Gross domestic product",2012,"Chained Dollars","Level","6",16197007,"T10106"
"T10106","A191RX","1","Gross domestic product",2013,"Chained Dollars","Level","6",16495369,"T10106"
